date,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
2015-06-16,gun,31.0,Not Hispanic,Wood Lake,North Dakota,False,attack,Not fleeing,False,-98.863,47.937
2015-06-17,gun,40.0,White,Clanton,Alabama,False,attack,Car,False,-86.625,32.886
2015-06-17,gun,48.0,White,Hobbs,New Mexico,True,attack,Not fleeing,False,-103.135,32.732
2015-06-18,knife,58.0,White,Coney Island,New York,False,attack,Foot,False,-73.968,40.576
2015-06-19,knife,44.0,Hispanic,Boston,Massachusetts,True,other,Foot,False,-71.101,42.351
2015-06-19,gun,21.0,Black,Cincinnati,Ohio,True,attack,Not fleeing,False,-84.394,39.156
2015-06-19,gun,50.0,Hispanic,Greeley,Colorado,False,attack,Not fleeing,False,-104.704,40.427
2015-06-20,gun,23.0,Black,Chicago,Illinois,False,attack,Foot,False,-87.573,41.766
2015-06-21,unarmed,24.0,Hispanic,Azusa,California,True,other,Not fleeing,False,-117.9,34.129
2015-06-21,miscellaneous non-lethal objects,49.0,White,Houston,Texas,True,other,Not fleeing,False,-95.442,30.03
2015-06-22,gun,60.0,White,Ronda,North Carolina,False,attack,Foot,False,-80.887,36.229
2015-06-22,gun,35.0,Hispanic,Citrus Heights,California,False,attack,Not fleeing,False,-121.29,38.677
2015-06-22,gun,29.0,White,Augusta,Georgia,True,attack,Not fleeing,False,-82.02,33.415
2015-06-22,gun,20.0,Black,Pittsburgh,Pennsylvania,False,attack,Car,False,-80.005,40.409
2015-06-23,unarmed,34.0,White,Indianapolis,Indiana,False,other,Car,False,-86.12,39.826
2015-06-23,knife,22.0,White,Hutchinson,Kansas,False,attack,Not fleeing,False,-97.944,38.063
2015-06-23,knife,49.0,White,Weatherford,Texas,True,other,Foot,False,-97.795,32.736
2015-06-23,gun,32.0,White,Omaha,Nebraska,False,attack,Not fleeing,False,-96.158,41.278
2015-06-24,gun,26.0,Black,York County,Virginia,False,attack,Not fleeing,True,-76.517,37.179
2015-06-25,unarmed,41.0,Black,Owings Mills,Maryland,True,other,Not fleeing,False,-76.806,39.411
2015-06-25,gun,61.0,White,Fresno,California,False,attack,Not fleeing,False,-119.659,37.08
2015-06-26,gun,49.0,White,Malone,New York,False,attack,Other,False,-74.285,44.743
2015-06-26,gun,28.0,Hispanic,San Antonio,Texas,False,other,Foot,False,-98.64,29.418
2015-06-27,gun,35.0,White,Tahlequah,Oklahoma,False,attack,Not fleeing,True,-94.979,35.909
2015-06-28,toy gun,29.0,White,Portland,Oregon,False,attack,Not fleeing,False,-122.536,45.536
2015-06-29,gun,51.0,White,Edinburg,New York,True,attack,Not fleeing,False,-74.069,43.208
2015-06-30,gun,52.0,White,Franklin,North Carolina,False,attack,Not fleeing,False,-83.388,35.194
2015-07-01,NG,24.0,Black,McMinnville,Oregon,False,attack,Foot,False,-123.168,45.23
2015-07-01,gun,32.0,White,Josephine County,Oregon,False,attack,Car,False,-123.384,42.646
2015-07-02,toy gun,45.0,White,Brockton,Massachusetts,True,attack,Not fleeing,False,-71.014,42.053
2015-07-02,knife,60.0,American Native,San Diego,California,False,other,Not fleeing,False,-117.164,32.99
2015-07-02,unarmed,23.0,Black,Jacksonville,Florida,False,attack,Foot,False,-81.626,30.3
2015-07-02,miscellaneous lethal weapons,59.0,NG,Meadow Bridge,West Virginia,True,attack,Not fleeing,False,-80.854,37.859
2015-07-03,gun,46.0,Hispanic,Lancaster,California,False,attack,Not fleeing,False,-118.187,34.671
2015-07-03,toy gun,33.0,Hispanic,Camden,New Jersey,True,attack,Not fleeing,False,-75.088,39.963
2015-07-03,gun,39.0,White,Miami Beach,Florida,False,attack,Not fleeing,False,-80.134,25.813
2015-07-03,knife,27.0,Hispanic,West Covina,California,False,attack,Not fleeing,False,-117.894,34.024
2015-07-04,gun,42.0,Black,Oklahoma City,Oklahoma,False,attack,Foot,False,-97.444,35.414
2015-07-04,gun,37.0,White,Morristown,Tennessee,False,attack,Not fleeing,False,-83.28,36.196
2015-07-04,gun,23.0,Black,Newport News,Virginia,False,attack,Foot,False,-76.4,36.984
2015-07-04,gun,36.0,White,Henderson,Nevada,False,attack,Not fleeing,False,-115.043,36.057
2015-07-05,unarmed,19.0,White,Pleasanton,California,False,attack,Foot,False,-121.872,37.662
2015-07-05,gun,35.0,White,Austin,Texas,False,attack,Foot,False,-97.74,30.269
2015-07-05,unarmed,43.0,Hispanic,Hawaiian Gardens,California,False,other,Not fleeing,False,-118.071,33.833
2015-07-05,toy gun,25.0,White,Austin,Texas,True,attack,Not fleeing,False,-97.702,30.38
2015-07-06,gun,20.0,White,Oklahoma City,Oklahoma,False,attack,Not fleeing,False,-97.576,35.418
2015-07-06,knife,42.0,White,Bath,New Hampshire,True,other,Not fleeing,True,-71.976,44.153
2015-07-06,knife,29.0,Black,Los Angeles,California,False,attack,Not fleeing,False,-118.406,34.322
2015-07-06,knife,42.0,Hispanic,Atwater,California,False,attack,Car,False,-120.579,37.339
2015-07-06,NG,31.0,White,Lakewood,California,True,attack,Other,False,-118.124,33.857
2015-07-07,gun,18.0,Black,Houston,Texas,False,attack,Not fleeing,False,-95.519,29.595
2015-07-07,deadly blunt objects,33.0,White,Mesa,Arizona,False,other,Not fleeing,False,-111.821,33.405
2015-07-07,gun,59.0,White,Dallas,Texas,False,attack,Not fleeing,False,-96.827,32.758
2015-07-07,gun,47.0,Hispanic,Bakersfield,California,False,attack,Not fleeing,False,-119.013,35.307
2015-07-07,gun,39.0,Hispanic,Edinburg,Texas,True,attack,Not fleeing,False,-98.137,26.259
2015-07-07,knife,37.0,Black,Atlantic City,New Jersey,False,attack,Foot,False,-74.428,39.369
2015-07-07,gun,35.0,White,Sugar Creek,Missouri,False,attack,Car,False,-94.422,39.137
2015-07-07,knife,28.0,White,Elizabethtown,Kentucky,False,other,Not fleeing,False,-85.906,37.718
